#NAME?,DIA US Index,CNYUSD Curncy,EURUSD Curncy,GBTC US Equity,ETHE US Equity,LTCN US Equity,CCRIXRP Index,Lumber prices,WTI Oil
DATES,"px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)"
08/03/2021,318.25,0.15323,1.1847,45.4,17.39,248.9999,0.4738,319.8,25.634
09/03/2021,318.61,0.15369,1.1901,49.12,18.2,280.0001,0.4789,319.8,25.634
10/03/2021,323.33,0.15372,1.1929,50.42,17.39,285.0001,0.4677,319.8,25.634
11/03/2021,325.33,0.15399,1.1986,52.3,17.8,285.0001,0.4531,319.8,25.634
12/03/2021,328.31,0.15365,1.1953,50,17.125,251,0.4426,319.8,25.634
15/03/2021,330.09,0.15385,1.1929,51.38,17.51,286,0.4389,319.8,25.634
16/03/2021,328.86,0.1537,1.1903,49.86,17.54,286,0.4708,319.8,25.634
17/03/2021,330.77,0.15375,1.1979,51.99,18.18,286,0.4636,319.8,25.634
18/03/2021,329.36,0.15369,1.1915,50.81,17.25,286,0.4767,319.8,25.634
19/03/2021,326.01,0.15363,1.1904,52.955,17.26,278.4,0.4711,319.8,25.634
22/03/2021,327.24,0.15366,1.1933,49.5,16.52,279.5,0.5747,319.8,25.634
23/03/2021,324.06,0.15346,1.1849,46.75,15.76,256,0.5676,319.8,25.634
24/03/2021,324.08,0.15327,1.1813,45,14.94,178,0.5516,319.8,25.634
25/03/2021,326.19,0.15276,1.1764,44.5,15.15,132,0.4898,319.8,25.634
26/03/2021,330.61,0.15288,1.1794,46.43,15.58,138.18,0.5484,319.8,25.634
29/03/2021,331.66,0.15221,1.1765,49.45,16.96,140,0.5589,319.8,25.634
30/03/2021,330.82,0.15217,1.1717,50.82,17.31,114,0.5669,319.8,25.634
31/03/2021,330.18,0.15261,1.173,50.04,17.89,112,0.5505,319.8,25.634
01/04/2021,331.45,0.15232,1.1777,50.865,18.8365,115,0.5603,319.8,25.634
02/04/2021,331.45,0.15228,1.1759,50.865,18.8365,115,0.5811,319.8,25.634
05/04/2021,335.2,0.15228,1.1813,52.95,20.15,149.99,0.7126,319.8,25.634
06/04/2021,334.37,0.15292,1.1876,50.62,20.385,189.02,0.9319,319.8,25.634
07/04/2021,334.37,0.15285,1.1868,47.57,18.865,158,0.956,319.8,25.634
08/04/2021,335.13,0.15265,1.1914,49.05,20,183,0.9605,319.8,25.634
09/04/2021,337.86,0.15261,1.1899,49.65,20.47,222.5,0.9981,319.8,25.634
12/04/2021,337.55,0.15271,1.1911,51.78,20.99,267.96,1.3765,319.8,25.634
13/04/2021,336.79,0.15281,1.1948,54.93,23.615,304.04,1.7091,319.8,25.634
14/04/2021,337.53,0.15314,1.198,51.5,22.1801,253.99,1.6559,319.8,25.634
15/04/2021,340.44,0.15331,1.1967,52.6,24.65,251.51,1.7194,319.8,25.634
16/04/2021,341.86,0.15336,1.1983,51.37,23.7,268,1.5549,319.8,25.634
19/04/2021,340.75,0.1536,1.2037,47.9499,22.29,240,1.3258,319.8,25.634
20/04/2021,338.12,0.15386,1.2036,47.01,23.16,221.65,1.3316,319.8,25.634
21/04/2021,341.3,0.15407,1.2035,45.35,24,234.89,1.3704,319.8,25.634
22/04/2021,338.12,0.15408,1.2015,41.32,24.34,221,1.3207,319.8,25.634
23/04/2021,340.43,0.15394,1.2097,42.385,23.12,218.96,1.1033,319.8,25.634
26/04/2021,339.87,0.15419,1.2086,45.91,25.5,226.95,1.2371,319.8,25.634
27/04/2021,339.83,0.15425,1.2091,46.575,26.93,225,1.3784,319.8,25.634
28/04/2021,338.37,0.15434,1.2126,46.2,27.43,216.52,1.3542,319.8,25.634
29/04/2021,340.57,0.15451,1.2121,43,27.12,209,1.3879,319.8,25.634
30/04/2021,338.94,0.15444,1.202,46.85,27.705,231,1.6024,319.8,25.634
03/05/2021,341.11,0.15444,1.2064,47.23,32.4,250.25,1.5578,319.8,25.634
04/05/2021,341.49,0.15444,1.2014,44.35,31.96,299.98,1.422,319.8,25.634
05/05/2021,342.28,0.15444,1.2005,46.06,34.405,379.03,1.5597,319.8,25.634
06/05/2021,345.51,0.1547,1.2065,45.205,34.49,445.99,1.6841,319.8,25.634
07/05/2021,347.88,0.15544,1.2166,46.88,35.07,366,1.6257,319.8,25.634
10/05/2021,347.74,0.15585,1.2129,44.22,37.25,427,1.5203,319.8,25.634
11/05/2021,342.91,0.15554,1.2148,44.876,40,393.505,1.435,319.8,25.634
12/05/2021,336,0.15489,1.2072,41.97,39.15,394.99,1.4604,319.8,25.634
13/05/2021,340.45,0.15499,1.2081,37.182,33.5,325.99,1.3461,319.8,25.634
14/05/2021,344.26,0.15535,1.2141,39.43,36.805,369,1.4011,319.8,25.634
17/05/2021,343.65,0.1553,1.2152,35.5,32.78,345,1.4809,319.8,25.634
18/05/2021,341.11,0.15563,1.2222,34.38,32.7235,371.49,1.5532,319.8,25.634
19/05/2021,339.44,0.1554,1.2175,32.6,25.82,298,1.1395,319.8,25.634
20/05/2021,341.52,0.15541,1.2228,33.0499,27.395,316,1.2369,319.8,25.634
21/05/2021,342.04,0.15542,1.2182,30.1,23.37,288,1.0629,319.8,25.634
24/05/2021,343.96,0.15578,1.2216,33.115,26.32,300,0.8612,319.8,25.634
25/05/2021,343.18,0.15599,1.225,31.51,25.25,303.5,0.9442,319.8,25.634
26/05/2021,343.27,0.15647,1.2192,32.05,27.06,290.05,0.9959,319.8,25.634
27/05/2021,344.6,0.15666,1.2195,32.46,27.6,296.1,1.0247,319.8,25.634
28/05/2021,345.64,0.15702,1.2192,30.22,25.21,277.9999,0.9067,319.8,25.634
31/05/2021,345.64,0.15698,1.2227,30.22,25.21,277.9999,0.9873,319.8,25.634
01/06/2021,345.87,0.15671,1.2213,29.54,25.7099,310.05,1.0255,319.8,25.634
02/06/2021,346.36,0.15671,1.2211,31.1,27.78,320.3,1.0232,319.8,25.634
03/06/2021,346.02,0.15616,1.2127,32.25,28.04,320.45,1.0283,319.8,25.634
04/06/2021,347.9,0.15637,1.2167,30.9,27.25,292,0.951,319.8,25.634
