Date,Trend
27-12-2018,40
28-12-2018,40
29-12-2018,38
30-12-2018,36
31-12-2018,36
01-01-2019,32
02-01-2019,34
03-01-2019,34
04-01-2019,33
05-01-2019,30
06-01-2019,31
07-01-2019,32
08-01-2019,31
09-01-2019,32
10-01-2019,36
11-01-2019,33
12-01-2019,29
13-01-2019,29
14-01-2019,31
15-01-2019,31
16-01-2019,30
17-01-2019,28
18-01-2019,28
19-01-2019,27
20-01-2019,26
21-01-2019,27
22-01-2019,28
23-01-2019,28
24-01-2019,28
25-01-2019,27
26-01-2019,25
27-01-2019,25
28-01-2019,30
29-01-2019,29
30-01-2019,28
31-01-2019,27
01-02-2019,26
02-02-2019,25
03-02-2019,24
04-02-2019,27
05-02-2019,33
06-02-2019,31
07-02-2019,30
08-02-2019,31
09-02-2019,29
10-02-2019,27
11-02-2019,28
12-02-2019,27
13-02-2019,27
14-02-2019,27
15-02-2019,26
16-02-2019,24
17-02-2019,25
18-02-2019,30
19-02-2019,34
20-02-2019,31
21-02-2019,29
22-02-2019,29
23-02-2019,30
24-02-2019,34
25-02-2019,31
26-02-2019,28
27-02-2019,27
28-02-2019,27
01-03-2019,26
02-03-2019,23
03-03-2019,24
04-03-2019,26
05-03-2019,27
06-03-2019,27
07-03-2019,27
08-03-2019,26
09-03-2019,27
10-03-2019,25
11-03-2019,26
12-03-2019,26
13-03-2019,25
14-03-2019,25
15-03-2019,25
16-03-2019,26
17-03-2019,24
18-03-2019,26
19-03-2019,27
20-03-2019,28
21-03-2019,28
22-03-2019,27
23-03-2019,25
24-03-2019,22
25-03-2019,25
26-03-2019,24
27-03-2019,28
28-03-2019,26
29-03-2019,27
30-03-2019,25
